cis_name,name,lat,lon,country_code,region,district
"Zázrivá,Plešivá,Borončo","Zázrivá, Plešivá, Borončo",49.26864,19.16972,SK,Žilinský,Dolný Kubín
"Zázrivá,Plešivá,Molík","Zázrivá, Plešivá, Molík",49.26755,19.1786,SK,Žilinský,Dolný Kubín
"Zázrivá,Plešivá,noc.SAD","Zázrivá, Plešivá, noc.SAD",49.26704,19.18519,SK,Žilinský,Dolný Kubín
"Námestovo,,aut.st.","Námestovo, aut.st.",49.40356,19.47927,SK,Žilinský,Námestovo
"Námestovo,,Makyta","Námestovo, Makyta",49.40728,19.48049,SK,Žilinský,Námestovo
"Námestovo,,Gymnázium","Námestovo, Gymnázium",49.40792,19.48406,SK,Žilinský,Námestovo
"Námestovo,,HERN","Námestovo, HERN",49.41667,19.4878,SK,Žilinský,Námestovo
"Námestovo,,SOŠ","Námestovo, SOŠ",49.41254,19.48269,SK,Žilinský,Námestovo
"Námestovo,,silo","Námestovo, silo",49.41452,19.49014,SK,Žilinský,Námestovo
"Námestovo,,Areál PUNCH","Námestovo, Areál PUNCH",49.42406,19.49712,SK,Žilinský,Námestovo
"Klin,,pri moste","Klin, pri moste",49.43457,19.5035,SK,Žilinský,Námestovo
"Zubrohlava,,rázc.Bobrov","Zubrohlava, rázc.Bobrov",49.44005,19.51144,SK,Žilinský,Námestovo
"Zubrohlava,,pri kostole","Zubrohlava, pri kostole",49.44503,19.51113,SK,Žilinský,Námestovo
"Zubrohlava,,OcÚ","Zubrohlava, OcÚ",49.44913,19.50987,SK,Žilinský,Námestovo
"Rabča,,Drunek","Rabča, Drunek",49.46532,19.50005,SK,Žilinský,Námestovo
"Rabča,,Ratica","Rabča, Ratica",49.46927,19.49676,SK,Žilinský,Námestovo
"Rabča,,pošta","Rabča, pošta",49.47603,19.48998,SK,Žilinský,Námestovo
"Rabča,,Jednota","Rabča, Jednota",49.48182,19.47957,SK,Žilinský,Námestovo
"Rabča,,Domin","Rabča, Domin",49.48579,19.47511,SK,Žilinský,Námestovo
"Rabča,,Labudiak","Rabča, Labudiak",49.49155,19.47048,SK,Žilinský,Námestovo
"Rabča,,rázc.Sihelné","Rabča, rázc.Sihelné",49.49734,19.46673,SK,Žilinský,Námestovo
"Rabča,,Kalfas","Rabča, Kalfas",49.49522,19.45729,SK,Žilinský,Námestovo
"Rabča,,Grúň Jednota","Rabča, Grúň Jednota",49.48988,19.45788,SK,Žilinský,Námestovo
"Rabča,,Grúň","Rabča, Grúň",49.48665,19.46045,SK,Žilinský,Námestovo
"Sihelné,,Brandys","Sihelné, Brandys",49.49752,19.43971,SK,Žilinský,Námestovo
"Sihelné,,Pindiak","Sihelné, Pindiak",49.5014,19.42982,SK,Žilinský,Námestovo
"Sihelné,,pošta","Sihelné, pošta",49.50371,19.42443,SK,Žilinský,Námestovo
"Sihelné,,ZŠ","Sihelné, ZŠ",49.50642,19.41705,SK,Žilinský,Námestovo
"Sihelné,,Chudiak","Sihelné, Chudiak",49.51073,19.40881,SK,Žilinský,Námestovo
"Sihelné,,penzión Beskyd","Sihelné, penzión Beskyd",49.51493,19.40407,SK,Žilinský,Námestovo
"Sihelné,,Skurčák","Sihelné, Skurčák",49.51683,19.40122,SK,Žilinský,Námestovo
"Sihelné,,konečná","Sihelné, konečná",49.52333,19.39336,SK,Žilinský,Námestovo
"Klin,,ZŠ","Klin, ZŠ",49.4349,19.49638,SK,Žilinský,Námestovo
"Klin,,kostol","Klin, kostol",49.43894,19.48958,SK,Žilinský,Námestovo
"Klin,,pri soche","Klin, pri soche",49.44303,19.48106,SK,Žilinský,Námestovo
"Klin,,horný koniec","Klin, horný koniec",49.44655,19.47394,SK,Žilinský,Námestovo
"Zubrohlava,,Pekáreň","Zubrohlava, Pekáreň",49.43767,19.51719,SK,Žilinský,Námestovo
"Bobrov,,Nová cesta","Bobrov, Nová cesta",49.42915,19.53837,SK,Žilinský,Námestovo
"Bobrov,,Barčák","Bobrov, Barčák",49.42939,19.53423,SK,Žilinský,Námestovo
"Bobrov,,ZŠ","Bobrov, ZŠ",49.42889,19.53895,SK,Žilinský,Námestovo
"Bobrov,,OcÚ","Bobrov, OcÚ",49.42788,19.54324,SK,Žilinský,Námestovo
"Bobrov,,Kompan","Bobrov, Kompan",49.43102,19.54704,SK,Žilinský,Námestovo
"Bobrov,,RD","Bobrov, RD",49.43295,19.55128,SK,Žilinský,Námestovo
"Dolný Kubín,Kňažia,Spišiak","Dolný Kubín, Kňažia, Spišiak",49.23468,19.31497,SK,Žilinský,Dolný Kubín
"Medzibrodie n.Oravou,,lavica","Medzibrodie nad Oravou, lavica",49.23282,19.33733,SK,Žilinský,Dolný Kubín
"Oravský Podzámok,Široká,OFZ","Oravský Podzámok, Široká, OFZ",49.25045,19.34016,SK,Žilinský,Dolný Kubín
"Oravský Podzámok,,Racibor","Oravský Podzámok, Racibor",49.25558,19.3412,SK,Žilinský,Dolný Kubín
"Oravský Podzámok,,škola","Oravský Podzámok, škola",49.25866,19.35302,SK,Žilinský,Dolný Kubín
"Oravský Podzámok,,nám.","Oravský Podzámok, nám.",49.2609,19.35669,SK,Žilinský,Dolný Kubín
"Oravský Podzámok,,Príslop Poľana","Oravský Podzámok, Príslop Poľana",49.27917,19.34699,SK,Žilinský,Dolný Kubín
"Hruštín,,Príslop","Hruštín, Príslop",49.30355,19.35372,SK,Žilinský,Námestovo
"Hruštín,,pri moste","Hruštín, pri moste",49.32343,19.34856,SK,Žilinský,Námestovo
"Hruštín,,rázc.Vaňovka","Hruštín, rázc.Vaňovka",49.32806,19.35698,SK,Žilinský,Námestovo
"Babín,,Šilák","Babín, Šilák",49.33108,19.37814,SK,Žilinský,Námestovo
"Vasiľov,,rázc.","Vasiľov, rázc.",49.34601,19.38761,SK,Žilinský,Námestovo
Lokca,Lokca,49.36624,19.41018,SK,Žilinský,Námestovo
"Lokca,,Poľana","Lokca, Poľana",49.37016,19.40902,SK,Žilinský,Námestovo
"Breza,,I","Breza, I",49.38472,19.3848,SK,Žilinský,Námestovo
"Breza,,II","Breza, II",49.38482,19.37341,SK,Žilinský,Námestovo
"Breza,,rázc.Beňadovo","Breza, rázc.Beňadovo",49.38141,19.36442,SK,Žilinský,Námestovo
"Krušetnica,,pri moste","Krušetnica, pri moste",49.37754,19.34125,SK,Žilinský,Námestovo
"Zákamenné,,rázc.Novoť","Zákamenné, rázc.Novoť",49.38522,19.30479,SK,Žilinský,Námestovo
"Zákamenné,,Podkamenné","Zákamenné, Podkamenné",49.38479,19.29555,SK,Žilinský,Námestovo
"Zákamenné,,športový areál","Zákamenné, športový areál",49.38157,19.28897,SK,Žilinský,Námestovo
"Zákamenné,,Oravice","Zákamenné, Oravice",49.38008,19.28018,SK,Žilinský,Námestovo
"Zákamenné,,RD","Zákamenné, RD",49.37818,19.27303,SK,Žilinský,Námestovo
"Oravská Lesná,,Ustrig","Oravská Lesná, Ustrig",49.38158,19.22314,SK,Žilinský,Námestovo
"Oravská Lesná,,Holubčík","Oravská Lesná, Holubčík",49.37306,19.2191,SK,Žilinský,Námestovo
"Oravská Lesná,,Tisoň","Oravská Lesná, Tisoň",49.37022,19.21047,SK,Žilinský,Námestovo
"Oravská Lesná,,Dendis","Oravská Lesná, Dendis",49.36976,19.19889,SK,Žilinský,Námestovo
"Oravská Lesná,,OcÚ","Oravská Lesná, OcÚ",49.36838,19.1845,SK,Žilinský,Námestovo
"Trstená,,Panasonic","Trstená, Panasonic",49.36393,19.62348,SK,Žilinský,Tvrdošín
"Trstená,,SAD","Trstená, SAD",49.36391,19.61816,SK,Žilinský,Tvrdošín
"Nižná,,Malá Orava rázc.","Nižná, Malá Orava rázc.",49.3104,19.51312,SK,Žilinský,Tvrdošín
"Nižná,,ČOV","Nižná, ČOV",49.30972,19.50273,SK,Žilinský,Tvrdošín
"Podbiel,,Jednota","Podbiel, Jednota",49.30716,19.48583,SK,Žilinský,Tvrdošín
"Podbiel,,žel.st.","Podbiel, žel.st.",49.30421,19.47885,SK,Žilinský,Tvrdošín
"Podbiel,,rázc.Zuberec","Podbiel, rázc.Zuberec",49.30709,19.48723,SK,Žilinský,Tvrdošín
"Podbiel,,PPD","Podbiel, PPD",49.3007,19.49569,SK,Žilinský,Tvrdošín
"Podbiel,,píla",Podbiel píla,49.2955,19.50834,SK,Žilinský,Tvrdošín
"Oravský Biely Potok,,CS","Oravský Biely Potok, CS",49.29547,19.50855,SK,Žilinský,Tvrdošín
"Oravský Biely Potok,,Kašák","Oravský Biely Potok, Kašák",49.28479,19.54842,SK,Žilinský,Tvrdošín
